,Variable,Max,Average,Min
2014-10-01,Sea Level Pressure,30.35,29.84,0.0
2014-11-01,Max Temperature,61.0,52.63,45.0
2014-11-01,Avg Temperature,57.52,48.23,35.73
2014-11-01,Min Temperature,55.0,42.57,27.0
2014-11-01,Dew Point,55.0,44.83,27.0
2014-11-01,Precipitation,0.0,0.0,0.0
2014-11-01,Snowdepth,0.0,0.0,0.0
2014-11-01,Wind,21.0,5.5,0.0
2014-11-01,Gust Wind,41.0,1.73,0.0
2014-11-01,Sea Level Pressure,30.32,29.68,29.17
2014-12-01,Max Temperature,55.0,47.2,37.0
2014-12-01,Avg Temperature,53.68,42.34,27.56
2014-12-01,Min Temperature,52.0,36.1,21.0
2014-12-01,Dew Point,52.0,37.3,21.0
2014-12-01,Precipitation,0.0,0.0,0.0
2014-12-01,Snowdepth,0.0,0.0,0.0
2014-12-01,Wind,21.0,7.88,0.0
2014-12-01,Gust Wind,37.0,1.51,0.0
2014-12-01,Sea Level Pressure,30.77,30.08,29.29
2015-01-01,Max Temperature,57.0,46.84,39.0
2015-01-01,Avg Temperature,53.71,41.88,32.15
2015-01-01,Min Temperature,50.0,34.68,19.0
2015-01-01,Dew Point,52.0,36.07,18.0
2015-01-01,Precipitation,0.0,0.0,0.0
2015-01-01,Snowdepth,0.0,0.0,0.0
2015-01-01,Wind,29.0,8.59,0.0
2015-01-01,Gust Wind,51.0,3.42,0.0
2015-01-01,Sea Level Pressure,30.59,29.93,28.79
2015-02-01,Max Temperature,55.0,44.68,36.0
2015-02-01,Avg Temperature,49.3,40.38,33.15
2015-02-01,Min Temperature,43.0,33.61,23.0
2015-02-01,Dew Point,48.0,33.97,21.0
2015-02-01,Precipitation,0.0,0.0,0.0
2015-02-01,Snowdepth,0.0,0.0,0.0
2015-02-01,Wind,24.0,8.03,0.0
2015-02-01,Gust Wind,45.0,2.89,0.0
2015-02-01,Sea Level Pressure,30.74,29.99,29.26
2015-03-01,Max Temperature,55.0,50.16,43.0
2015-03-01,Avg Temperature,52.06,45.15,40.48
2015-03-01,Min Temperature,50.0,37.74,25.0
2015-03-01,Dew Point,48.0,35.99,25.0
2015-03-01,Precipitation,0.0,0.0,0.0
2015-03-01,Snowdepth,0.0,0.0,0.0
2015-03-01,Wind,26.0,9.11,0.0
2015-03-01,Gust Wind,49.0,2.27,0.0
2015-03-01,Sea Level Pressure,30.71,30.12,29.44
2015-04-01,Max Temperature,73.0,58.0,48.0
2015-04-01,Avg Temperature,61.18,51.1,46.31
2015-04-01,Min Temperature,50.0,38.87,28.0
2015-04-01,Dew Point,50.0,39.37,25.0
2015-04-01,Precipitation,0.0,0.0,0.0
2015-04-01,Snowdepth,0.0,0.0,0.0
2015-04-01,Wind,22.0,7.51,0.0
2015-04-01,Gust Wind,32.0,0.74,0.0
2015-04-01,Sea Level Pressure,30.62,30.12,29.65
2015-05-01,Max Temperature,66.0,59.03,52.0
2015-05-01,Avg Temperature,59.47,54.24,48.44
2015-05-01,Min Temperature,54.0,45.71,36.0
2015-05-01,Dew Point,55.0,43.85,30.0
2015-05-01,Precipitation,0.0,0.0,0.0
2015-05-01,Snowdepth,0.0,0.0,0.0
2015-05-01,Wind,33.0,9.89,0.0
2015-05-01,Gust Wind,52.0,3.05,0.0
2015-05-01,Sea Level Pressure,30.32,29.94,29.11
2015-06-01,Max Temperature,79.0,66.37,55.0
2015-06-01,Avg Temperature,71.06,60.51,52.68
2015-06-01,Min Temperature,59.0,47.9,-27.0
2015-06-01,Dew Point,59.0,48.07,-40.0
2015-06-01,Precipitation,0.0,0.0,0.0
2015-06-01,Snowdepth,0.0,0.0,0.0
2015-06-01,Wind,26.0,8.88,0.0
2015-06-01,Gust Wind,44.0,1.65,0.0
2015-06-01,Sea Level Pressure,30.5,30.09,29.56
2015-07-01,Max Temperature,82.0,68.65,57.0
2015-07-01,Avg Temperature,74.91,62.74,55.18
2015-07-01,Min Temperature,63.0,48.68,-38.0
2015-07-01,Dew Point,61.0,51.38,-49.0
2015-07-01,Precipitation,0.0,0.0,0.0
2015-07-01,Snowdepth,0.0,0.0,0.0
2015-07-01,Wind,21.0,7.13,0.0
2015-07-01,Gust Wind,37.0,3.35,0.0
2015-07-01,Sea Level Pressure,30.27,29.93,29.41
2015-08-01,Max Temperature,77.0,66.94,61.0
2015-08-01,Avg Temperature,67.97,61.89,56.66
2015-08-01,Min Temperature,61.0,52.9,39.0
2015-08-01,Dew Point,63.0,52.84,37.0
2015-08-01,Precipitation,0.0,0.0,0.0
2015-08-01,Snowdepth,0.0,0.0,0.0
2015-08-01,Wind,22.0,4.94,0.0
2015-08-01,Gust Wind,39.0,2.23,0.0
2015-08-01,Sea Level Pressure,30.21,29.91,29.38
2015-09-01,Max Temperature,68.0,62.5,57.0
2015-09-01,Avg Temperature,61.03,56.25,52.25
2015-09-01,Min Temperature,54.0,44.27,0.0
2015-09-01,Dew Point,57.0,46.94,0.0
2015-09-01,Precipitation,0.0,0.0,0.0
2015-09-01,Snowdepth,0.0,0.0,0.0
2015-09-01,Wind,20.0,5.0,0.0
2015-09-01,Gust Wind,32.0,0.94,0.0
2015-09-01,Sea Level Pressure,30.56,29.97,0.0
2015-10-01,Max Temperature,64.0,57.65,54.0
2015-10-01,Avg Temperature,60.0,52.55,44.0
2015-10-01,Min Temperature,59.0,45.03,32.0
2015-10-01,Dew Point,59.0,46.67,32.0
2015-10-01,Precipitation,0.0,0.0,0.0
2015-10-01,Snowdepth,0.0,0.0,0.0
2015-10-01,Wind,17.0,5.3,0.0
